,country,election name,federal election,province,district,constituency_no,candidate_name,party name,received votes
265,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Gandaki Pradesh,Nawalparasi East,Constituency : 1,Shashank Koirala,Nepali Congress,"37,373"
266,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Gandaki Pradesh,Nawalparasi East,Constituency : 2,Tilak Mahat,CPN-UML,"39,053"
268,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Gulmi,Gulmi - Constituency 1,Chandrakant Bhandari,Nepali Congress,"33,744"
269,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Gulmi,Gulmi - Constituency 2,Gokarna Raj Bista,CPN UML,"28,476"
270,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Gulmi,Constituency : 1,Pradip Kumar Gyawali,CPN-UML,"37,814"
271,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Gulmi,Constituency : 2,Gokarna Bista,CPN-UML,"34,618"
273,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Palpa,Palpa - Constituency 1,Narayan Prasad Acharya,CPN UML,"31,103"
274,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Palpa,Palpa - Constituency 2,Thakur Prasad Gaire,CPN UML,"28,645"
275,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Palpa,Constituency : 1,Dal Bahadur Rana,CPN-UML,"32,549"
276,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Palpa,Constituency : 2,Som Prasad Panday,CPN-UML,"34,899"
278,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Rupandehi,Rupandehi - Constituency 1,Chhabilal Biswakarma,CPN UML,"24,882"
279,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Rupandehi,Rupandehi - Constituency 2,Bishnu Prasad Paudel,CPN UML,"27,148"
280,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Rupandehi,Rupandehi - Constituency 3,Dipak Bohara,Rastriya Prajatantra Party,"36,717"
281,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Rupandehi,Rupandehi - Constituency 4,Sarbendra Nath Shukla,Loktantrik Samajwadi Party,"28,000"
282,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Rupandehi,Rupandehi - Constituency 5,Basudev Ghimire,CPN UML,"36,822"
283,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Rupandehi,Constituency : 1,Chabilal BK,CPN-UML,"34,752"
284,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Rupandehi,Constituency : 2,Bishnu Poudel,CPN-UML,"44,009"
285,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Rupandehi,Constituency : 3,Ghana Shyam Bhusal,CPN-UML,"32,866"
286,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Rupandehi,Constituency : 4,Pramod Kumar Yadav,Nepali Congress,"31,718"
287,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Rupandehi,Constituency : 5,Bharat Kumar Sah,Nepali Congress,"33,088"
289,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Arghakhanchi,Arghakhanchi - Constituency 1,Top Bahadur Rayamajhi,CPN UML,"42,675"
290,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Arghakhanchi,Constituency : 1,Top Bahadur Rayamajhi,Maoist Centre,"50,837"
292,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Kapilvastu,Kapilvastu - Constituency 1,Bal Ram Adhikari,CPN UML,"34,675"
293,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Kapilvastu,Kapilvastu - Constituency 2,Surendra Raj Aacharya,Nepali Congress,"39,014"
294,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Kapilvastu,Kapilvastu - Constituency 3,Mangal Prasad Gupta,CPN UML,"22,619"
295,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Kapilvastu,Constituency : 1,Chakrapadi Khanal,Maoist Centre,"29,799"
296,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Kapilvastu,Constituency : 2,Brijesh Kumar Gupta,CPN-UML,"35,147"
297,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Kapilvastu,Constituency : 3,Abhishek Pratap Shah,Nepali Congress,"20,001"
299,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Pyuthan,Pyuthan - Constituency 1,Surya Bahadur Thapa Chhetri,CPN UML,"41,118"
300,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Pyuthan,Constituency : 1,Durga Poudel,Rastriya Janamorcha,"47,514"
302,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Rolpa,Rolpa - Constituency 1,Barsha Man Pun,CPN Maoist,"41,714"
303,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Rolpa,Constituency : 1,Barsha Man Pun,Maoist Centre,"40,647"
305,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Dang,Dang - Constituency 1,Metmani Chaudhary,CPN (Unified Socialist),"26,576"
306,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Dang,Dang - Constituency 2,Rekha Sharma,CPN Maoist,"26,880"
307,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Dang,Dang - Constituency 3,Dipak Giri,Nepali Congress,"36,911"
308,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Dang,Constituency : 1,Metmani Chaudhary,CPN-UML,"37,908"
309,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Dang,Constituency : 2,Krishna Bahadur Mahara,Maoist Centre,"40,042"
310,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Dang,Constituency : 3,Hira Chandra KC,CPN-UML,"40,287"
312,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Bardiya,Bardiya - Constituency 1,Sanjay Kumar Gautam,Nepali Congress,"30,611"
313,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Bardiya,Bardiya - Constituency 2,Lal Bir Chaudhary,Independent,"26,520"
314,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Bardiya,Constituency : 1,Sanjay Kumar Gautam,Nepali Congress,"44,834"
315,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Bardiya,Constituency : 2,Santa Kumar Tharu,Maoist Centre,"50,555"
317,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Banke,Banke - Constituency 1,Surya Prasad Dhakal,CPN UML,"25,026"
318,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Banke,Banke - Constituency 2,Dhawal ShamSher Jung Bahadur Rana,Rastriya Prajatantra Party,"29,577"
319,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Banke,Banke - Constituency 3,Kishore Singh Rathor,Nepali Congress,"29,097"
320,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Banke,Constituency : 1,Maheshwor Jung Gahatraj,Maoist Centre,"31,173"
321,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Banke,Constituency : 2,Mohammad Ishtiaq Rai,SSF,"21,575"
322,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Banke,Constituency : 3,Nanda Lal Roka Chhetri,CPN-UML,"31,601"
324,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Nawalparasi West,Nawalparasi West - Constituency 1,Binod Kumar Chaudhary,Nepali Congress,"29,519"
325,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Nawalparasi West,Nawalparasi West - Constituency 2,Dhurba Bahadur Pradhan,Rastriya Prajatantra Party,"34,764"
326,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Nawalparasi West,Constituency : 1,Hridayesh Tripathi,CPN-UML,"38,592"
327,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Nawalparasi West,Constituency : 2,Devendra Raj Kandel,Nepali Congress,"34,130"
329,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Lumbini Pradesh,Rukum East,Rukum East - Constituency 1,Purna Bahadur Gharti Magar,CPN Maoist,"12,262"
330,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Lumbini Pradesh,Rukum East,Constituency : 1,Kamal Roka,Maoist Centre,"10,434"
332,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Rukum West,Rukum West - Constituency 1,Janardan Sharma,CPN Maoist,"39,549"
333,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Rukum West,Constituency : 1,Janardan Sharma,Maoist Centre,"34,402"
335,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Salyan,Salyan - Constituency 1,Prakash Juwala,CPN (Unified Socialist),"35,707"
336,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Salyan,Constituency : 1,Tek Bahadur Basnet,Maoist Centre,"40,897"
338,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Surkhet,Surkhet - Constituency 1,purna Bahadur Khadka,Nepali Congress,"42,607"
339,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Surkhet,Surkhet - Constituency 2,Hridyaram Thani,Nepali Congress,"34,625"
340,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Surkhet,Constituency : 1,Dhurba Kumar Shahi,CPN-UML,"36,759"
341,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Surkhet,Constituency : 2,Nawaraj Rawat,CPN-UML,"37,447"
343,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Dailekh,Dailekh - Constituency 1,Amar Bahadur Thapa,CPN (Unified Socialist),"18,297"
344,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Dailekh,Dailekh - Constituency 2,Dikpal Kumar Shahi,Nepali Congress,"20,183"
345,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Dailekh,Constituency : 1,Rabindra Raj Sharma,CPN-UML,"23,773"
346,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Dailekh,Constituency : 2,Raj Bahadur Buda,CPN-UML,"23,323"
348,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Jajarkot,Jajarkot - Constituency 1,Shakti Bahadur Basnet,CPN Maoist,"34,151"
349,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Jajarkot,Constituency : 1,Shakti Bahadur Basnet,Maoist Centre,"32,281"
351,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Dolpa,Dolpa - Constituency 1,Dhan Bahadur Budha,CPN (Unified Socialist),"11,292"
352,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Dolpa,Constituency : 1,Dhan Bahadur Buda,CPN-UML,"11,761"
354,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Humla,Humla - Constituency 1,Tshering Dhamdul Lama(Bhote),CPN Maoist,"14,371"
355,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Humla,Constituency : 1,Chakka Bahadur Lama,Independent.,"8,491"
357,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Kalikot,Kalikot - Constituency 1,Mahendra Bahadur Shahi,CPN Maoist,"23,727"
358,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Kalikot,Constituency : 1,Durga Bahadur Rawat,Maoist Centre,"21,112"
360,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Mugu,Mugu - Constituency 1,Aain Bahadur Shahi Thakuri,Nepali Congress,"14,706"
361,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Mugu,Constituency : 1,Gopal Bahadur Bam,CPN-UML,"13,034"
363,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Karnali Pradesh,Jumla,Jumla - Constituency 1,Ghyan Bahadur Shahi,Rastriya Prajatantra Party,"22,819"
364,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Karnali Pradesh,Jumla,Constituency : 1,Gajendra Bahadur Mahat,Maoist Centre,"22,173"
366,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Bajhang,Bajhang - Constituency 1,Bhanubhakta Joshi,CPN (Unified Socialist),"28,413"
367,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Bajhang,Constituency : 1,Bhairab Bahadur Singh,CPN-UML,"32,167"
369,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Achham,Achham - Constituency 1,Sher Bahadur Kunwar,CPN (Unified Socialist),"19,534"
370,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Achham,Achham - Constituency 2,Puspa Bahadur Shah,Nepali Congress,"22,954"
371,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Achham,Constituency : 1,Bhim Bahadur Rawal,CPN-UML,"24,883"
372,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Achham,Constituency : 2,Yagya Bahadur Bogati,CPN-UML,"21,965"
374,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Doti,Doti - Constituency 1,Prem Bahadur Ale,CPN (Unified Socialist),"27,210"
375,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Doti,Constituency : 1,Prem Bahadur Ale,CPN-UML,"32,510"
377,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Kailali,Kailali - Constituency 1,Ranjita Shrestha,Nagarik Unmukti Party,"30,404"
378,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Kailali,Kailali - Constituency 2,Arun Kumar Chaudhary,Nagarik Unmukti Party,"21,871"
379,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Kailali,Kailali - Constituency 3,Ganga Ram Chaudhary,Nagarik Unmukti Party,"23,120"
380,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Kailali,Kailali - Constituency 4,Bir Bahadur Balayar,Nepali Congress,"26,275"
381,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Kailali,Kailali - Constituency 5,Dilli Raj Pant,Nepali Congress,"21,392"
382,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Kailali,Constituency : 1,Resham Chaudhary,RJP,"34,341"
383,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Kailali,Constituency : 2,Jhapat Bahadur Rawal,CPN-UML,"25,157"
384,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Kailali,Constituency : 3,Gauri Shankar Chaudhary,Maoist Centre,"24,862"
385,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Kailali,Constituency : 4,Lekhraj Bhatta,Maoist Centre,"27,544"
386,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Kailali,Constituency : 5,Narad Muni Rana,CPN-UML,"27,202"
388,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Kanchanpur,Kanchanpur - Constituency 1,Tara Lama Tamang,CPN UML,"24,943"
389,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Kanchanpur,Kanchanpur - Constituency 2,Narayan Prakash Saud,Nepali Congress,"28,136"
390,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Kanchanpur,Kanchanpur - Constituency 3,Ramesh Lekhak,Nepali Congress,"30,575"
391,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Kanchanpur,Constituency : 1,Bina Magar,Maoist Centre,"38,467"
392,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Kanchanpur,Constituency : 2,Nar Bahadur Dhami,CPN-UML,"33,220"
393,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Kanchanpur,Constituency : 3,Dip Prakash Bhatta,CPN-UML,"26,364"
395,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Dadeldhura,Dadeldhura - Constituency 1,Sher Bahadur Deuba,Nepali Congress,"25,534"
396,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Dadeldhura,Constituency : 1,Sher Bahadur Deuba,Nepali Congress,"28,044"
398,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Baitadi,Baitadi - Constituency 1,Damodar Bhandari,CPN UML,"33,611"
399,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Baitadi,Constituency : 1,Damodar Bhandari,CPN-UML,"39,524"
401,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Darchula,Darchula - Constituency 1,Dilendra Prasad Badu,Nepali Congress,"28,515"
402,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Darchula,Constituency : 1,Ganesh Singh Thagunna,CPN-UML,"28,998"
404,Nepal,Parliament & Provincial Election 2079,Federal Parliament 2079,Sudurpaschim Pradesh,Bajura,Bajura - Constituency 1,Bhadri Prasad Pandey,Nepali Congress,"31,786"
405,Nepal,Parliament & Provincial Election 2074,Federal Parliament 2074,Sudurpaschim Pradesh,Bajura,Constituency : 1,Lal Bahadur Thapa,CPN-UML,"28,065"
